Method,ID,THR,CLOSE,FAR,POS,NEG,AUC,AUPR
PHACE,A0PK00,0,8,16,1275,1275,0.978930565167244,0.975632735659563
CAPS,A0PK00,0,8,16,1275,1275,0.695341176470588,0.768829692737937
CAPS_Bootstrap,A0PK00,0,8,16,1275,1275,0.695363629373318,0.769086442196793
CoMap,A0PK00,0,8,16,1275,1275,0.509016532103037,0.524921726635852
DCA,A0PK00,0,8,16,1275,1275,0.866622376009233,0.869629518231947
GaussDCA,A0PK00,0,8,16,1275,1275,0.87012410611303,0.875702732530072
ZMIp,A0PK00,0,8,16,1275,1275,0.600465051903113,0.600608626224401
PSICOV,A0PK00,0,8,16,1275,1275,0.799781007304883,0.810680524097932
PHACE,A0PK00,5,8,16,239,239,0.951926611929062,0.956258760824978
CAPS,A0PK00,5,8,16,239,239,0.596374363193922,0.661172458465649
CAPS_Bootstrap,A0PK00,5,8,16,239,239,0.596111762749252,0.658253492124976
CoMap,A0PK00,5,8,16,239,239,0.506276150627615,0.519070435005992
DCA,A0PK00,5,8,16,239,239,0.690096461896677,0.686926129432439
GaussDCA,A0PK00,5,8,16,239,239,0.690717949615728,0.686614251074406
ZMIp,A0PK00,5,8,16,239,239,0.437667407783477,0.476447503022859
PSICOV,A0PK00,5,8,16,239,239,0.588645156772466,0.576242371823517
PHACE,A4D126,0,8,16,1972,1972,0.96610045710948,0.97227359050171
CAPS,A4D126,0,8,16,1972,1972,0.550214282922374,0.601191150041966
CAPS_Bootstrap,A4D126,0,8,16,1972,1972,0.550222511715745,0.601292273769224
CoMap,A4D126,0,8,16,1972,1972,0.505578093306288,0.517276343339136
DCA,A4D126,0,8,16,1972,1972,0.911511670486199,0.916822512323298
GaussDCA,A4D126,0,8,16,1972,1972,0.904612084394506,0.909509211004906
ZMIp,A4D126,0,8,16,1972,1972,0.624824109541698,0.625744921557391
PSICOV,A4D126,0,8,16,1972,1972,0.776168462943685,0.813471464563034
PHACE,A4D126,5,8,16,906,906,0.90271747340516,0.907969890447516
CAPS,A4D126,5,8,16,906,906,0.537545867871292,0.580071533966447
CAPS_Bootstrap,A4D126,5,8,16,906,906,0.537569015004215,0.580516662791511
CoMap,A4D126,5,8,16,906,906,0.501655629139073,0.506130144835739
DCA,A4D126,5,8,16,906,906,0.838891081775165,0.835113220573999
GaussDCA,A4D126,5,8,16,906,906,0.826876501517965,0.822008831141128
ZMIp,A4D126,5,8,16,906,906,0.57421214469151,0.568782698549197
PSICOV,A4D126,5,8,16,906,906,0.687888932746614,0.712009232931497
PHACE,A6ND01,0,8,16,944,944,0.858349342861247,0.867470806790419
CAPS,A6ND01,0,8,16,944,944,0.59880646725079,0.653301984013393
CAPS_Bootstrap,A6ND01,0,8,16,944,944,0.599024166906062,0.653901254108745
CoMap,A6ND01,0,8,16,944,944,0.506341905163746,0.515103429636821
DCA,A6ND01,0,8,16,944,944,0.767637038566504,0.777373136666143
GaussDCA,A6ND01,0,8,16,944,944,0.770903655558746,0.782576703757807
ZMIp,A6ND01,0,8,16,944,944,0.589039159006032,0.591538758467668
PSICOV,A6ND01,0,8,16,944,944,0.69964517200517,0.723804646700452
PHACE,A6ND01,5,8,16,432,432,0.760328253600823,0.763452501268873
CAPS,A6ND01,5,8,16,432,432,0.551933299039781,0.592306390989106
CAPS_Bootstrap,A6ND01,5,8,16,432,432,0.552027070473251,0.591258236780622
CoMap,A6ND01,5,8,16,432,432,0.504616233710563,0.510866061246226
DCA,A6ND01,5,8,16,432,432,0.690307784636487,0.716630542730974
GaussDCA,A6ND01,5,8,16,432,432,0.693158436213991,0.722019497967269
ZMIp,A6ND01,5,8,16,432,432,0.514531893004115,0.512003536770977
PSICOV,A6ND01,5,8,16,432,432,0.592587234224966,0.583906124934552
PHACE,A6NK06,0,8,16,2567,2567,0.79248284654546,0.81100049149144
CAPS,A6NK06,0,8,16,2567,2567,0.511102454226724,0.53059419435943
CAPS_Bootstrap,A6NK06,0,8,16,2567,2567,0.511102454226724,0.53059419435943
CoMap,A6NK06,0,8,16,2567,2567,0.500779347230112,0.502942034015232
DCA,A6NK06,0,8,16,2567,2567,0.671666801477323,0.652944368071136
GaussDCA,A6NK06,0,8,16,2567,2567,0.671875163612839,0.654070331971575
ZMIp,A6NK06,0,8,16,2567,2567,0.52101756297036,0.515789851755102
PSICOV,A6NK06,0,8,16,2567,2567,0.621657688479333,0.610178578168449
PHACE,A6NK06,5,8,16,1177,1177,0.697286348585786,0.717031018807062
CAPS,A6NK06,5,8,16,1177,1177,0.506796941376381,0.520383661054688
CAPS_Bootstrap,A6NK06,5,8,16,1177,1177,0.506796941376381,0.520383661054688
CoMap,A6NK06,5,8,16,1177,1177,0.500425530686213,0.501992392776539
DCA,A6NK06,5,8,16,1177,1177,0.589459976655365,0.555883435732867
GaussDCA,A6NK06,5,8,16,1177,1177,0.5833047600967,0.554877814191957
ZMIp,A6NK06,5,8,16,1177,1177,0.518636367245615,0.514910593110974
PSICOV,A6NK06,5,8,16,1177,1177,0.533778979578136,0.509604940441224
PHACE,A8K2U0,0,8,16,6939,6939,0.981325208509512,0.984334447247341
CAPS,A8K2U0,0,8,16,6939,6939,0.674915343746229,0.746848496394699
CAPS_Bootstrap,A8K2U0,0,8,16,6939,6939,0.66620469098876,0.703339423832534
CoMap,A8K2U0,0,8,16,6939,6939,0.510229737364418,0.528030146076414
DCA,A8K2U0,0,8,16,6939,6939,0.919065304656701,0.93258480503566
GaussDCA,A8K2U0,0,8,16,6939,6939,0.92176701293868,0.935331722755685
ZMIp,A8K2U0,0,8,16,6939,6939,0.659738641060869,0.676412431472915
PSICOV,A8K2U0,0,8,16,6939,6939,0.575947542873613,0.638319054038373
PHACE,A8K2U0,5,8,16,3708,3708,0.971575933082668,0.975854639946353
CAPS,A8K2U0,5,8,16,3708,3708,0.691404645368654,0.760322764093423
CAPS_Bootstrap,A8K2U0,5,8,16,3708,3708,0.682839059603481,0.718191950244243
CoMap,A8K2U0,5,8,16,3708,3708,0.504716834297458,0.513428526019882
DCA,A8K2U0,5,8,16,3708,3708,0.864692757372319,0.882418413464933
GaussDCA,A8K2U0,5,8,16,3708,3708,0.871086299601196,0.888505604242091
ZMIp,A8K2U0,5,8,16,3708,3708,0.595294846327774,0.588757546307624
PSICOV,A8K2U0,5,8,16,3708,3708,0.571871628910464,0.632765685202678
PHACE,B2RXH2,0,8,16,1593,1593,0.830238933753255,0.853507784763201
CAPS,B2RXH2,0,8,16,1593,1593,0.640410080353902,0.695736871171397
CAPS_Bootstrap,B2RXH2,0,8,16,1593,1593,0.639496636453662,0.687905877276788
