"ID" "NumSeq" "NumPos" "TreeLength" "CoMapResult"
"A0PK00" 397 339 67.245 "Included"
"A4D126" 127 451 43.968 "Included"
"A6ND01" 328 250 60.281 "Included"
"A6NK06" 162 481 27.281 "Included"
"A8K2U0" 958 1454 192.531 "X"
"B2RXH2" 1001 506 144.544 "X"
"O00141" 1001 431 78.998 "X"
"O00187" 1001 686 174.402 "X"
"O00189" 389 453 52.548 "Included"
"O00204" 1001 365 173.76 "X"
"O00212" 1001 210 51.461 "X"
"O00214" 1001 317 184.877 "X"
"O00338" 1001 296 153.014 "X"
"O00411" 1001 1230 214.111 "X"
"O00418" 687 725 209.17 "X"
"O00571" 1001 662 94.31 "X"
"O00762" 1001 179 101.055 "X"
"O00764" 977 312 195.055 "X"
"O14520" 1001 342 148.164 "X"
"O14531" 1001 572 88.772 "X"
"O14556" 1001 408 77.419 "X"
"O14593" 1001 260 168.198 "X"
"O14649" 993 394 140.553 "X"
"O14672" 728 748 406.25 "X"
"O14678" 891 606 197.459 "X"
"O14732" 1001 288 155.482 "X"
"O14745" 1001 358 179.923 "X"
"O14746" 165 1132 54.984 "Included"
"O14832" 233 338 62.195 "Included"
"O14920" 1001 756 228.755 "X"
"O14931" 76 201 19.193 "Included"
"O14939" 1001 933 127.319 "X"
"O14958" 261 399 18.271 "Included"
"O14965" 1001 403 155.883 "X"
"O14966" 1001 203 128.23 "X"
"O15118" 1001 1278 152.124 "X"
"O15229" 834 486 182.415 "X"
"O15247" 719 247 57.027 "Included"
"O15263" 72 64 14.877 "Included"
"O15294" 994 1046 265.027 "X"
"O15305" 1001 246 100.717 "X"
"O15392" 1001 142 213.351 "X"
"O15393" 1001 492 159.275 "X"
"O15438" 1001 1527 135.06 "X"
"O15439" 1001 1325 182.662 "X"
"O15484" 1001 640 110.934 "X"
"O15520" 1000 208 72.048 "X"
"O15527" 876 345 179.425 "X"
"O15537" 1000 224 152.135 "X"
"O43175" 1001 533 103.832 "X"
"O43252" 1001 624 80.222 "X"
"O43255" 1001 324 122.26 "X"
"O43464" 1001 458 230.47 "X"
"O43504" 211 91 38.449 "Included"
"O43586" 979 416 242.15 "X"
"O43613" 817 425 223.814 "X"
"O43663" 243 620 73.899 "Included"
"O43708" 1001 216 172.038 "X"
"O43776" 1001 548 113.105 "X"
"O43791" 1001 374 141.27 "X"
"O43819" 1001 266 166.457 "X"
